Order_ID,Order_Time,City,Restaurant,Order_Value,Delivery_Fee,Discount,Payment_Mode,Delivery_Time_Min,Final_Amount
ORD100000,2023-01-01 00:00:00,Kolkata,Pizza Corner,1349.85,21.28,462.51,Card,45,908.6199999999999
ORD100001,2023-01-01 01:00:00,Hyderabad,South Express,528.88,64.92,233.45,Card,82,360.34999999999997
ORD100002,2023-01-01 02:00:00,Chennai,Pizza Corner,1590.35,93.1,326.73,Wallet,15,1356.7199999999998
ORD100003,2023-01-01 03:00:00,Delhi,South Express,1834.73,72.82,92.2,Card,57,1815.35
ORD100004,2023-01-01 04:00:00,Mumbai,Urban Tadka,1374.42,50.05,394.49,Cash,55,1029.98
ORD100005,2023-01-01 05:00:00,Hyderabad,Tandoori Nights,1935.57,5.7,365.14,Wallet,28,1576.13
ORD100006,2023-01-01 06:00:00,Kolkata,Tandoori Nights,944.53,0.76,372.22,UPI,85,573.0699999999999
ORD100007,2023-01-01 07:00:00,Delhi,Spice Hub,1208.05,97.27,137.99,UPI,48,1167.33
ORD100008,2023-01-01 08:00:00,Delhi,Urban Tadka,572.48,23.16,177.53,UPI,76,418.11
ORD100009,2023-01-01 09:00:00,Mumbai,Pizza Corner,551.64,54.33,308.42,UPI,13,297.55
ORD100010,2023-01-01 10:00:00,Chennai,South Express,483.8,64.17,352.64,Card,72,195.33000000000004
ORD100011,2023-01-01 11:00:00,Kolkata,Biryani House,1838.77,21.35,198.95,Cash,10,1661.1699999999998
ORD100012,2023-01-01 12:00:00,Chennai,Pizza Corner,886.72,12.85,26.19,Cash,82,873.38
ORD100013,2023-01-01 13:00:00,Pune,Urban Tadka,1043.69,79.71,356.89,Card,58,766.5100000000001
ORD100014,2023-01-01 14:00:00,Mumbai,Tandoori Nights,1920.18,11.99,68.19,UPI,45,1863.98
ORD100015,2023-01-01 15:00:00,,Biryani House,404.41,32.97,118.16,UPI,79,319.22
ORD100016,2023-01-01 16:00:00,Chennai,Pizza Corner,895.09,21.67,412.06,Wallet,10,504.7
ORD100017,2023-01-01 17:00:00,Pune,Tandoori Nights,1861.77,12.5,29.64,Cash,73,1844.6299999999999
ORD100018,2023-01-01 18:00:00,Kolkata,Spice Hub,1183.04,71.24,239.14,UPI,52,1015.14
ORD100019,2023-01-01 19:00:00,Bangalore,Urban Tadka,827.72,73.55,59.43,Cash,38,841.84
ORD100020,2023-01-01 20:00:00,Chennai,Tandoori Nights,1091.84,82.62,188.33,UPI,27,986.13
ORD100021,2023-01-01 21:00:00,Hyderabad,South Express,1972.65,73.61,335.02,UPI,40,1711.24
ORD100022,2023-01-01 22:00:00,Chennai,South Express,650.05,85.15,307.57,Wallet,37,427.62999999999994
ORD100023,2023-01-01 23:00:00,Bangalore,Urban Tadka,656.55,41.64,420.57,Card,81,277.61999999999995
ORD100024,2023-01-02 00:00:00,Chennai,Pizza Corner,1239.17,90.46,90.59,Card,12,1239.0400000000002
ORD100025,2023-01-02 01:00:00,Kolkata,South Express,1898.75,10.28,371.4,UPI,26,1537.63
ORD100026,2023-01-02 02:00:00,Pune,Pizza Corner,1879.83,34.22,441.52,Cash,54,1472.53
ORD100027,2023-01-02 03:00:00,Bangalore,South Express,1358.03,24.87,300.22,Card,19,1082.6799999999998
ORD100028,2023-01-02 04:00:00,Chennai,Urban Tadka,931.37,1.31,368.09,Cash,55,564.5899999999999
ORD100029,2023-01-02 05:00:00,Mumbai,Pizza Corner,796.86,38.64,464.24,Wallet,15,371.26
ORD100030,2023-01-02 06:00:00,Mumbai,Urban Tadka,1861.19,54.93,153.03,Cash,37,1763.0900000000001
ORD100031,2023-01-02 07:00:00,Pune,Biryani House,916.22,61.65,246.7,Card,48,731.1700000000001
ORD100032,2023-01-02 08:00:00,Delhi,Spice Hub,1747.22,32.86,363.05,Cash,81,1417.03
ORD100033,2023-01-02 09:00:00,Pune,South Express,1741.44,84.4,17.32,Cash,87,1808.5200000000002
ORD100034,2023-01-02 10:00:00,Kolkata,Urban Tadka,691.22,75.47,239.04,Cash,15,527.6500000000001
ORD100035,2023-01-02 11:00:00,Mumbai,Urban Tadka,1796.48,69.19,407.96,Wallet,25,1457.71
ORD100036,2023-01-02 12:00:00,Mumbai,Tandoori Nights,1527.5,57.69,164.33,Wallet,37,1420.8600000000001
ORD100037,2023-01-02 13:00:00,Kolkata,Urban Tadka,915.17,4.02,112.28,Card,58,806.91
ORD100038,2023-01-02 14:00:00,Pune,Biryani House,1123.85,0.21,192.29,UPI,38,931.77
ORD100039,2023-01-02 15:00:00,Mumbai,Spice Hub,1744.57,8.27,351.98,UPI,54,1400.86
ORD100040,2023-01-02 16:00:00,Mumbai,Biryani House,1181.02,48.62,409.19,Card,56,820.4499999999998
ORD100041,2023-01-02 17:00:00,Delhi,Biryani House,1335.92,17.61,178.68,UPI,77,1174.85
ORD100042,2023-01-02 18:00:00,Chennai,Biryani House,932.56,57.38,376.9,UPI,69,613.04
ORD100043,2023-01-02 19:00:00,Mumbai,Pizza Corner,,21.79,463.58,Wallet,36,
ORD100044,2023-01-02 20:00:00,Delhi,Spice Hub,1198.01,72.52,153.15,Cash,10,1117.3799999999999
ORD100045,2023-01-02 21:00:00,Delhi,Tandoori Nights,979.37,71.91,138.2,Cash,54,913.0799999999999
ORD100046,2023-01-02 22:00:00,Kolkata,Urban Tadka,586.39,21.76,87.74,UPI,48,520.41
ORD100047,2023-01-02 23:00:00,Hyderabad,Tandoori Nights,1994.19,82.9,270.77,UPI,69,1806.3200000000002
ORD100048,2023-01-03 00:00:00,Bangalore,South Express,291.86,79.68,388.68,UPI,54,-17.139999999999986
ORD100049,2023-01-03 01:00:00,Mumbai,South Express,806.98,78.3,304.13,UPI,50,581.15
ORD100050,2023-01-03 02:00:00,Delhi,Spice Hub,1838.39,53.36,235.82,Card,25,1655.93
ORD100051,2023-01-03 03:00:00,Pune,Urban Tadka,1956.27,39.12,376.7,Cash,69,1618.6899999999998
ORD100052,2023-01-03 04:00:00,Hyderabad,South Express,149.31,79.89,205.7,Wallet,12,23.5
ORD100053,2023-01-03 05:00:00,Pune,Urban Tadka,1544.89,99.88,287.35,Card,24,1357.42
ORD100054,2023-01-03 06:00:00,Kolkata,Pizza Corner,685.19,93.0,221.81,Wallet,65,556.3800000000001
ORD100055,2023-01-03 07:00:00,Mumbai,Spice Hub,1389.68,87.44,154.46,Cash,20,1322.66
